TRIP_ID,GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE,FEMALE
15,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,170,62,120,84,82,10,0,0,0,2,1
16,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,170,47,30,84,57,30,0,0,0,2,1
17,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,213,52,60,70,62,10,0,0,0,2,1
18,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,32,30,29,35,10,0,105,40,2,0
19,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,29,30,25,38,20,0,136,50,2,0
20,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,32,120,27,40,10,1,136,65,2,0
21,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,47,29,60,25,38,30,1,84,65,2,0
22,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,32,30,25,36,30,1,136,40,2,0
23,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,38,60,25,42,20,0,84,40,2,0
24,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,29,30,27,32,10,1,84,50,2,0
25,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,32,60,27,40,30,0,105,50,2,0
26,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,38,30,27,42,30,0,84,65,2,0
27,2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,40,30,65,45,10,0,135,80,2,0
28,2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,40,120,61,52,10,1,175,130,2,0
29,2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,36,30,58,49,20,0,175,100,2,0
30,2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,105,36,60,58,49,30,1,108,130,2,0
31,2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,40,30,58,46,30,1,175,80,2,0
32,2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,36,30,61,42,10,1,108,100,2,0
33,2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,48,60,58,50,20,0,108,80,2,0
34,2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,48,30,61,52,30,0,108,130,2,0
35,2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,40,60,61,52,30,0,135,100,2,0
36,2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,269,70,120,216,72,20,0,0,0,2,0
37,2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,243,70,30,213,70,10,0,0,0,2,0
38,2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,320,70,60,220,74,30,0,0,0,2,0
39,2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,243,58,30,216,66,20,0,0,0,2,0
40,2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,320,52,60,216,57,20,0,0,0,2,0
41,2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,269,52,120,213,62,10,0,0,0,2,0
42,2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,243,70,120,220,74,10,0,0,0,2,0
43,2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,243,52,30,220,57,30,0,0,0,2,0
44,2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,320,58,60,213,64,10,0,0,0,2,0
45,2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,116,35,120,46,38,30,1,70,35,2,1
46,2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,26,120,49,29,30,0,91,28,2,1
47,2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,116,26,120,53,32,20,1,56,28,2,1
48,2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,102,26,60,53,32,10,0,91,45,2,1
49,2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,102,29,120,53,32,30,0,56,45,2,1
50,2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,29,60,53,32,20,1,91,35,2,1
51,2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,35,60,49,40,10,1,70,28,2,1
52,2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,29,120,46,35,20,0,70,45,2,1
53,2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,102,35,30,53,46,20,1,70,45,2,1
54,2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,87,42,120,32,49,20,0,117,140,2,0
55,2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,42,30,29,46,10,0,117,182,2,0
56,2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,101,42,60,36,56,30,0,117,112,2,0
57,2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,35,30,32,49,20,0,72,112,2,0
58,2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,101,31,60,32,38,20,0,90,182,2,0
59,2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,87,31,120,29,46,10,0,90,112,2,0
60,2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,42,120,36,56,10,0,72,140,1,0
61,2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,31,30,36,40,30,0,90,140,2,0
62,2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,101,35,60,29,43,10,0,72,140,2,0
63,2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,109,26,120,56,34,20,0,130,30,2,0
64,2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,26,30,53,32,10,0,130,39,2,0
65,2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,126,26,60,60,40,30,0,130,24,2,0
66,2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,22,30,56,35,20,0,80,24,3,0
67,2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,126,20,60,56,24,20,0,100,39,2,0
68,2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,109,20,120,53,32,10,0,100,24,3,0
69,2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,26,120,60,40,10,0,80,30,3,0
70,2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,20,30,60,26,30,0,100,30,2,0
71,2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,126,22,60,53,28,10,0,80,30,2,0
72,2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,24,30,53,28,10,0,60,32,2,0
73,2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,22,30,46,32,20,0,78,40,2,0
74,2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,24,120,49,36,10,1,78,52,2,0
75,2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,95,22,60,46,32,30,1,48,52,2,0
76,2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,24,30,46,29,30,1,78,32,2,0
77,2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,29,60,46,32,20,0,48,32,2,0
78,2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,22,30,49,25,10,1,48,40,2,0
79,2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,24,60,49,36,30,0,60,40,2,0
80,2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,29,30,49,35,30,0,48,52,2,0
81,2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,131,42,120,59,46,30,1,0,0,2,1
82,2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,110,31,120,62,38,30,0,0,0,1,1
83,2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,131,31,120,66,40,20,1,0,0,2,1
84,2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,117,31,60,66,40,10,0,0,0,2,1
85,2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,117,35,120,66,42,30,0,0,0,2,1
86,2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,110,35,60,66,42,20,1,0,0,2,1
87,2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,110,42,60,62,49,10,1,0,0,2,1
88,2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,110,35,120,59,43,20,0,0,0,2,1
89,2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,117,42,30,66,56,20,1,0,0,1,1
90,2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,116,32,30,52,38,10,0,0,0,2,0
91,2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,116,32,120,48,43,10,1,0,0,2,0
92,2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,116,29,30,45,40,20,0,0,0,2,0
93,2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,93,29,60,45,40,30,1,0,0,2,0
94,2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,101,32,30,45,40,30,1,0,0,2,0
95,2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,101,29,30,48,34,10,1,0,0,2,0
96,2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,101,38,60,45,43,20,0,0,0,2,0
97,2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,116,38,30,48,45,30,0,0,0,2,0
98,2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,101,32,60,48,43,30,0,0,0,2,0
99,2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,131,36,30,66,42,10,0,0,0,2,1
100,2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,131,36,120,62,50,10,1,0,0,2,1
101,2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,131,32,30,59,48,20,0,0,0,2,1
102,2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,110,32,60,59,48,30,1,0,0,2,1
103,2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,117,36,30,59,45,30,1,0,0,2,1
104,2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,117,32,30,62,38,10,1,0,0,2,1
105,2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,117,43,60,59,48,20,0,0,0,2,1
106,2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,131,43,30,62,49,30,0,0,0,2,1
107,2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,117,36,60,62,50,30,0,0,0,2,1
108,2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,168,37,120,86,40,30,1,0,0,2,0
109,2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,129,28,120,89,32,30,0,0,0,2,0
110,2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,168,28,120,93,32,20,1,0,0,2,0
111,2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,142,28,60,93,32,10,0,0,0,2,0
112,2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,142,31,120,93,34,30,0,0,0,2,0
113,2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,129,31,60,93,34,20,1,0,0,1,0
114,2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,129,37,60,89,42,10,1,0,0,1,0
115,2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,129,31,120,86,36,20,0,0,0,2,0
116,2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,142,37,30,93,46,20,1,0,0,2,0
117,2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,130,31,120,77,38,20,0,91,100,2,0
118,2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,118,31,30,74,36,10,0,91,130,2,0
119,2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,153,31,60,81,43,30,0,91,80,2,0
120,2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,118,26,30,77,38,20,0,56,80,1,0
121,2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,153,23,60,77,28,20,0,70,130,2,0
122,2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,130,23,120,74,35,10,0,70,80,2,0
123,2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,118,31,120,81,43,10,0,56,100,2,0
124,2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,118,23,30,81,29,30,0,70,100,1,0
125,2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,153,26,60,74,32,10,0,56,100,2,0
126,2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,111,26,120,41,31,30,1,0,0,2,0
127,2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,111,20,120,48,26,20,1,0,0,2,0
128,2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,90,20,120,44,24,30,0,0,0,2,0
129,2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,97,20,60,48,26,10,0,0,0,2,0
130,2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,97,22,120,48,26,30,0,0,0,2,0
131,2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,90,22,60,48,26,20,1,0,0,2,0
132,2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,90,26,60,44,32,10,1,0,0,2,0
133,2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,90,22,120,41,28,20,0,0,0,2,0
134,2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,97,26,30,48,40,20,1,0,0,1,0
135,2,0,1,16,1,0,1,2,1,3,1,2,0,25,1,1,1,1,208,62,30,79,66,10,0,190,80,2,0
136,2,0,1,16,1,0,1,2,1,3,1,2,0,25,1,1,1,1,208,62,120,71,80,10,1,247,130,2,0
137,2,0,1,16,1,0,1,2,1,3,1,2,0,25,1,1,1,1,208,56,30,65,74,20,0,247,100,2,0
138,2,0,1,16,1,0,1,2,1,3,1,2,0,25,1,1,1,1,165,56,60,65,74,30,1,152,130,2,0
139,2,0,1,16,1,0,1,2,1,3,1,2,0,25,1,1,1,1,179,62,30,65,70,30,1,247,80,2,0
140,2,0,1,16,1,0,1,2,1,3,1,2,0,25,1,1,1,1,179,56,30,71,62,10,1,152,100,2,0
141,2,0,1,16,1,0,1,2,1,3,1,2,0,25,1,1,1,1,179,74,60,65,78,20,0,152,80,2,0
142,2,0,1,16,1,0,1,2,1,3,1,2,0,25,1,1,1,1,208,74,30,71,80,30,0,152,130,2,0
143,2,0,1,16,1,0,1,2,1,3,1,2,0,25,1,1,1,1,179,62,60,71,80,30,0,190,100,2,0
144,2,0,1,17,1,0,2,1,0,1,1,2,0,1,2,1,1,1,132,23,30,61,26,10,0,90,20,2,0
145,2,0,1,17,1,0,2,1,0,1,1,2,0,1,2,1,1,1,132,23,120,57,31,10,1,117,32,2,0
146,2,0,1,17,1,0,2,1,0,1,1,2,0,1,2,1,1,1,132,21,30,54,28,20,0,117,25,2,0
147,2,0,1,17,1,0,2,1,0,1,1,2,0,1,2,1,1,1,102,21,60,54,28,30,1,72,32,2,0
148,2,0,1,17,1,0,2,1,0,1,1,2,0,1,2,1,1,1,112,23,30,54,28,30,1,117,20,2,0
149,2,0,1,17,1,0,2,1,0,1,1,2,0,1,2,1,1,1,112,21,30,57,24,10,1,72,25,2,0
150,2,0,1,17,1,0,2,1,0,1,1,2,0,1,2,1,1,1,112,28,60,54,30,20,0,72,20,2,0
151,2,0,1,17,1,0,2,1,0,1,1,2,0,1,2,1,1,1,132,28,30,57,31,30,0,72,32,2,0
152,2,0,1,17,1,0,2,1,0,1,1,2,0,1,2,1,1,1,112,23,60,57,31,30,0,90,25,2,0
153,2,0,1,18,1,0,2,1,0,3,1,3,0,2,25,1,1,1,186,24,30,95,27,10,0,110,32,2,0
154,2,0,1,18,1,0,2,1,0,3,1,3,0,2,25,1,1,1,186,24,120,89,32,10,1,143,52,2,0
155,2,0,1,18,1,0,2,1,0,3,1,3,0,2,25,1,1,1,186,22,30,84,30,20,0,143,40,2,0
156,2,0,1,18,1,0,2,1,0,3,1,3,0,2,25,1,1,1,154,22,60,84,30,30,1,88,52,2,0
157,2,0,1,18,1,0,2,1,0,3,1,3,0,2,25,1,1,1,165,24,30,84,28,30,1,143,32,2,0
158,2,0,1,18,1,0,2,1,0,3,1,3,0,2,25,1,1,1,165,22,30,89,25,10,1,88,40,2,0
159,2,0,1,18,1,0,2,1,0,3,1,3,0,2,25,1,1,1,165,29,60,84,30,20,0,88,32,2,0
160,2,0,1,18,1,0,2,1,0,3,1,3,0,2,25,1,1,1,186,29,30,89,32,30,0,88,52,2,0
161,2,0,1,18,1,0,2,1,0,3,1,3,0,2,25,1,1,1,165,24,60,89,32,30,0,110,40,2,0
162,2,0,1,19,1,0,2,1,1,1,0,1,0,1,17,1,1,1,212,26,120,121,27,30,1,1200,10,3,1
163,2,0,1,19,1,0,2,1,1,1,0,1,0,1,17,1,1,1,177,20,60,128,23,10,0,1560,13,1,1
164,2,0,1,19,1,0,2,1,1,1,0,1,0,1,17,1,1,1,159,20,120,124,22,30,0,1560,8,3,1
165,2,0,1,19,1,0,2,1,1,1,0,1,0,1,17,1,1,1,212,20,120,128,23,20,1,960,8,3,1
166,2,0,1,19,1,0,2,1,1,1,0,1,0,1,17,1,1,1,177,22,120,128,24,30,0,960,13,1,1
167,2,0,1,19,1,0,2,1,1,1,0,1,0,1,17,1,1,1,159,22,60,128,24,20,1,1560,10,1,1
168,2,0,1,19,1,0,2,1,1,1,0,1,0,1,17,1,1,1,159,26,60,124,28,10,1,1200,8,2,1
169,2,0,1,19,1,0,2,1,1,1,0,1,0,1,17,1,1,1,159,22,120,121,25,20,0,1200,13,2,1
170,2,0,1,19,1,0,2,1,1,1,0,1,0,1,17,1,1,1,177,26,30,128,31,20,1,1200,13,1,1
171,2,0,1,20,1,0,2,2,1,2,0,1,0,1,2,1,1,1,179,31,120,96,32,30,1,110,30,2,1
172,2,0,1,20,1,0,2,2,1,2,0,1,0,1,2,1,1,1,137,23,120,99,27,30,0,143,24,2,1
173,2,0,1,20,1,0,2,2,1,2,0,1,0,1,2,1,1,1,179,23,120,103,28,20,1,88,24,3,1
174,2,0,1,20,1,0,2,2,1,2,0,1,0,1,2,1,1,1,151,23,60,103,28,10,0,143,39,2,1
175,2,0,1,20,1,0,2,2,1,2,0,1,0,1,2,1,1,1,151,26,120,103,28,30,0,88,39,2,1
176,2,0,1,20,1,0,2,2,1,2,0,1,0,1,2,1,1,1,137,26,60,103,28,20,1,143,30,2,1
177,2,0,1,20,1,0,2,2,1,2,0,1,0,1,2,1,1,1,137,31,60,99,34,10,1,110,24,2,1
178,2,0,1,20,1,0,2,2,1,2,0,1,0,1,2,1,1,1,137,26,120,96,30,20,0,110,39,2,1
179,2,0,1,20,1,0,2,2,1,2,0,1,0,1,2,1,1,1,151,31,30,103,38,20,1,110,39,2,1
180,2,0,1,21,1,0,3,1,0,2,1,4,0,25,2,1,0,1,133,96,120,57,106,20,0,0,0,2,0
181,2,0,1,21,1,0,3,1,0,2,1,4,0,25,2,1,0,1,122,96,30,52,99,10,0,0,0,2,0
182,2,0,1,21,1,0,3,1,0,2,1,4,0,25,2,1,0,1,154,96,60,63,123,30,0,0,0,1,0
183,2,0,1,21,1,0,3,1,0,2,1,4,0,25,2,1,0,1,122,80,30,57,106,20,0,0,0,2,0
184,2,0,1,21,1,0,3,1,0,2,1,4,0,25,2,1,0,1,154,72,60,57,83,20,0,0,0,2,0
185,2,0,1,21,1,0,3,1,0,2,1,4,0,25,2,1,0,1,133,72,120,52,99,10,0,0,0,2,0
186,2,0,1,21,1,0,3,1,0,2,1,4,0,25,2,1,0,1,122,96,120,63,123,10,0,0,0,2,0
187,2,0,1,21,1,0,3,1,0,2,1,4,0,25,2,1,0,1,122,72,30,63,86,30,0,0,0,2,0
188,2,0,1,21,1,0,3,1,0,2,1,4,0,25,2,1,0,1,154,80,60,52,91,10,0,0,0,2,0
189,2,0,1,22,1,0,3,2,0,5,1,3,0,22,2,1,1,1,108,52,30,43,62,10,0,70,36,3,0
190,2,0,1,22,1,0,3,2,0,5,1,3,0,22,2,1,1,1,108,52,120,39,80,10,1,91,58,1,0
191,2,0,1,22,1,0,3,2,0,5,1,3,0,22,2,1,1,1,108,47,30,36,71,20,0,91,45,1,0
192,2,0,1,22,1,0,3,2,0,5,1,3,0,22,2,1,1,1,87,47,60,36,71,30,1,56,58,1,0
193,2,0,1,22,1,0,3,2,0,5,1,3,0,22,2,1,1,1,94,52,30,36,65,30,1,91,36,3,0
194,2,0,1,22,1,0,3,2,0,5,1,3,0,22,2,1,1,1,94,47,30,39,57,10,1,56,45,1,0
195,2,0,1,22,1,0,3,2,0,5,1,3,0,22,2,1,1,1,94,62,60,36,71,20,0,56,36,3,0
196,2,0,1,22,1,0,3,2,0,5,1,3,0,22,2,1,1,1,108,62,30,39,76,30,0,56,58,3,0
197,2,0,1,22,1,0,3,2,0,5,1,3,0,22,2,1,1,1,94,52,60,39,80,30,0,70,45,3,0
198,2,0,1,23,1,0,3,2,1,2,1,2,0,15,1,1,1,1,102,54,120,49,68,20,0,78,50,2,0
199,2,0,1,23,1,0,3,2,1,2,1,2,0,15,1,1,1,1,95,54,30,46,63,10,0,78,65,2,0
200,2,0,1,23,1,0,3,2,1,2,1,2,0,15,1,1,1,1,116,54,60,53,83,30,0,78,40,1,0
201,2,0,1,23,1,0,3,2,1,2,1,2,0,15,1,1,1,1,95,45,30,49,70,20,0,48,40,1,0
202,2,0,1,23,1,0,3,2,1,2,1,2,0,15,1,1,1,1,116,40,60,49,50,20,0,60,65,2,0
203,2,0,1,23,1,0,3,2,1,2,1,2,0,15,1,1,1,1,102,40,120,46,63,10,0,60,40,2,0
204,2,0,1,23,1,0,3,2,1,2,1,2,0,15,1,1,1,1,95,54,120,53,83,10,0,48,50,1,0
205,2,0,1,23,1,0,3,2,1,2,1,2,0,15,1,1,1,1,95,40,30,53,52,30,0,60,50,1,0
206,2,0,1,23,1,0,3,2,1,2,1,2,0,15,1,1,1,1,116,45,60,46,58,10,0,48,50,2,0
207,2,0,1,24,1,0,3,2,1,3,1,2,0,17,2,1,0,1,210,118,120,60,128,30,1,0,0,2,0
208,2,0,1,24,1,0,3,2,1,3,1,2,0,17,2,1,0,1,164,88,120,66,103,30,0,0,0,2,0
209,2,0,1,24,1,0,3,2,1,3,1,2,0,17,2,1,0,1,210,88,120,74,108,20,1,0,0,2,0
210,2,0,1,24,1,0,3,2,1,3,1,2,0,17,2,1,0,1,179,88,60,74,108,10,0,0,0,2,0
211,2,0,1,24,1,0,3,2,1,3,1,2,0,17,2,1,0,1,179,98,120,74,111,30,0,0,0,2,0
212,2,0,1,24,1,0,3,2,1,3,1,2,0,17,2,1,0,1,164,98,60,74,111,20,1,0,0,2,0
213,2,0,1,24,1,0,3,2,1,3,1,2,0,17,2,1,0,1,164,118,60,66,132,10,1,0,0,2,0
214,2,0,1,24,1,0,3,2,1,3,1,2,0,17,2,1,0,1,164,98,120,60,116,20,0,0,0,2,0
215,2,0,1,24,1,0,3,2,1,3,1,2,0,17,2,1,0,1,179,118,30,74,161,20,1,0,0,1,0
216,2,0,1,25,1,0,3,2,1,3,1,3,0,2,17,1,1,1,179,119,120,66,139,20,0,182,90,3,0
217,2,0,1,25,1,0,3,2,1,3,1,3,0,2,17,1,1,1,164,99,30,66,139,20,0,112,72,3,0
218,2,0,1,25,1,0,3,2,1,3,1,3,0,2,17,1,1,1,164,119,30,60,128,10,0,182,117,2,0
219,2,0,1,25,1,0,3,2,1,3,1,3,0,2,17,1,1,1,210,119,60,74,161,30,0,182,72,2,0
220,2,0,1,25,1,0,3,2,1,3,1,3,0,2,17,1,1,1,210,89,60,66,106,20,0,140,117,2,0
221,2,0,1,25,1,0,3,2,1,3,1,3,0,2,17,1,1,1,179,89,120,60,128,10,0,140,72,2,0
222,2,0,1,25,1,0,3,2,1,3,1,3,0,2,17,1,1,1,164,119,120,74,161,10,0,112,90,3,0
223,2,0,1,25,1,0,3,2,1,3,1,3,0,2,17,1,1,1,164,89,30,74,111,30,0,140,90,3,0
224,2,0,1,25,1,0,3,2,1,3,1,3,0,2,17,1,1,1,210,99,60,60,123,10,0,112,90,3,0
225,2,0,1,26,1,0,4,2,0,3,1,2,0,25,1,1,1,1,233,74,30,77,84,10,0,190,44,2,0
226,2,0,1,26,1,0,4,2,0,3,1,2,0,25,1,1,1,1,233,74,120,67,104,10,1,247,71,2,0
