No.,demographic_prompt,other_prompt,target,persona
12,The male is a 20-year‑old none of the above without a university degree and has refused/ did not answer.,The male somewhat agrees COVID‑19 is a dangerous health threat. The male is unsure whether COVID‑19 can be prevented by vaccination. The male somewhat disagrees that the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat agrees the available vaccines are safe. The male somewhat agrees their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 more than a year ago. The male pays less attention to new vaccine information than a year ago.,1,"The individual is cautious about the risks associated with COVID-19 but remains uncertain about vaccination efficacy, showing a moderate level of trust in vaccine safety and government distribution, while being less engaged with new vaccine information."
13,The male is a 22-year‑old none of the above without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays about the same attention to new vaccine information as a year ago.,1,"This 22-year-old male believes COVID-19 is a significant health threat that can be effectively prevented through trusted and safe vaccinations, and he has confidence in equitable government vaccine distribution despite his lack of a university degree."
14,The male is a 27-year‑old none of the above without a university degree and has refused/ did not answer.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'No' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays about the same attention to new vaccine information as a year ago.,1,The individual expresses a strong belief in the safety and effectiveness of COVID-19 vaccines while maintaining a level of skepticism about their ability to prevent long COVID.
15,The male is a 27-year‑old none of the above without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays more attention to new vaccine information than a year ago.,1,"The individual strongly believes in the seriousness of COVID-19 and trusts that vaccination is a safe and effective means of prevention, suggesting a highly pro-vaccination persona."
16,The male is a 28-year‑old none of the above without a university degree and has below‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male somewhat agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat agrees the available vaccines are safe. The male somewhat agrees their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Unsure' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays less attention to new vaccine information than a year ago.,1,"This individual perceives COVID-19 as a significant health threat and supports vaccination despite some lingering doubts about vaccine safety and efficacy, indicating a cautious yet generally favorable stance toward vaccination."
17,The male is a 41-year‑old none of the above without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,1,"The individual is a safety-conscious male who trusts the science and government regarding COVID-19 vaccinations and believes in their efficacy against both the virus and long COVID, while also keeping informed about new vaccine information."
18,The male is a 43-year‑old none of the above without a university degree and has below‑median income.,The male somewhat agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male somewhat agrees their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'No' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays about the same attention to new vaccine information as a year ago.,1,"The individual is moderately concerned about COVID-19 as a health threat, strongly supports vaccination as a preventive measure, and considers the available vaccines to be safe, but has some doubts about government vaccine equity and the long-term protection against long COVID."
19,The male is a 43-year‑old none of the above without a university degree and has refused/ did not answer.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays about the same attention to new vaccine information as a year ago.,1,"The individual is a safety-conscious, trusting believer in the effectiveness and safety of COVID-19 vaccines, viewing them as a reliable means to prevent the disease."
20,The male is a 48-year‑old none of the above without a university degree and has below‑median income.,The male somewhat agrees COVID‑19 is a dangerous health threat. The male somewhat agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male is unsure whether the available vaccines are safe. The male somewhat agrees their government can deliver vaccines equally to everyone. The male is unsure whether the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,1,"The individual is cautious yet recognizes the potential benefits of vaccination against COVID-19, harboring some doubts about vaccine safety and scientific trust, but acknowledges the greater risks of the disease itself."
21,The male is a 53-year‑old none of the above without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'No' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays about the same attention to new vaccine information as a year ago.,1,"The individual is a confident supporter of COVID-19 vaccination, believing strongly in its safety and effectiveness while viewing the virus as a significant threat requiring preventive measures."
22,The male is a 62-year‑old none of the above without a university degree and has above‑median income.,The male somewhat agrees COVID‑19 is a dangerous health threat. The male somewhat disagrees that COVID‑19 can be prevented by vaccination. The male is unsure whether the risks of COVID‑19 disease are greater than the risks of the vaccine. The male is unsure whether the available vaccines are safe. The male somewhat disagrees that their government can deliver vaccines equally to everyone. The male somewhat disagrees that the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays more attention to new vaccine information than a year ago.,1,"The individual is cautious about vaccination due to uncertainty regarding vaccine safety and efficacy, yet acknowledges a belief in its protective benefits against long COVID."
23,The female is a 24-year‑old physician without a university degree and has above‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female strongly agrees COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female strongly agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Yes' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays more attention to new vaccine information than a year ago.,1,"The individual is a health-conscious physician who strongly believes in the efficacy and safety of COVID-19 vaccines and trusts in the government's ability to provide equal access to vaccination, reflecting a proactive approach to vaccination in the face of the pandemic."
24,The female is a 25-year‑old physician without a university degree and has above‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female is unsure whether COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female strongly agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Yes' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays more attention to new vaccine information than a year ago.,1,"The individual is a health-conscious physician who trusts the safety and efficacy of vaccines but is uncertain about their preventive capabilities against COVID-19, influenced by personal experience with the virus."
25,The female is a 29-year‑old physician without a university degree and has above‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female is unsure whether COVID‑19 can be prevented by vaccination. The female is unsure whether the risks of COVID‑19 disease are greater than the risks of the vaccine. The female somewhat agrees the available vaccines are safe. The female somewhat agrees their government can deliver vaccines equally to everyone. The female strongly agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Yes' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays more attention to new vaccine information than a year ago.,1,"Despite being a physician who recognizes COVID-19 as a serious threat and trusts the science behind vaccines, she is uncertain about their preventative efficacy and risks, suggesting a cautious yet informed outlook on vaccination."
26,The female is a 41-year‑old physician without a university degree and has above‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female strongly agrees COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female somewhat agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Unsure' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays more attention to new vaccine information than a year ago.,1,"The individual is a concerned physician who strongly believes in the safety and effectiveness of COVID-19 vaccines, trusts government distribution, and is increasingly attentive to vaccine information, despite uncertainty about long COVID protection."
27,The female is a 49-year‑old physician without a university degree and has above‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female strongly agrees COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female strongly agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Yes' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays more attention to new vaccine information than a year ago.,1,"The individual is a highly confident advocate for COVID-19 vaccination, viewing it as a safe and essential measure against a serious health threat, with a strong trust in scientific information and government distribution."
28,The female is a 76-year‑old physician without a university degree and has above‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female strongly agrees COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female strongly agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Yes' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays more attention to new vaccine information than a year ago.,1,The individual is a health-conscious physician who strongly believes in the safety and efficacy of COVID-19 vaccines and the importance of vaccination in preventing serious health threats.
29,The female is a 36-year‑old nurses without a university degree and has below‑median income.,The female somewhat agrees COVID‑19 is a dangerous health threat. The female somewhat disagrees that COVID‑19 can be prevented by vaccination. The female somewhat disagrees that the risks of COVID‑19 disease are greater than the risks of the vaccine. The female somewhat disagrees that the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female strongly disagrees that the science behind COVID‑19 vaccines can be trusted. The female answers 'Unsure' to whether the vaccine protects against long COVID. The female and her family have not had COVID‑19. The female pays more attention to new vaccine information than a year ago.,1,"The individual is cautious about vaccines, expressing significant distrust in the science behind them while acknowledging COVID-19 as a serious health threat, yet she remains somewhat engaged with new vaccine information."
30,The female is a 48-year‑old nurses without a university degree and has below‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female is unsure whether COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female is unsure whether the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female strongly agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Yes' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays more attention to new vaccine information than a year ago.,1,"The individual perceives COVID-19 as a significant health threat and trusts the science behind the vaccines, though she remains uncertain about their safety and effectiveness in prevention."
31,The female is a 18-year‑old community health worker without a university degree and has refused/ did not answer.,The female strongly agrees COVID‑19 is a dangerous health threat. The female strongly agrees COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female strongly agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Unsure' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays more attention to new vaccine information than a year ago.,1,The individual is a health-conscious community health worker who recognizes the dangers of COVID-19 and trusts in the safety and efficacy of vaccines but remains uncertain about their role in preventing long COVID.
32,The female is a 21-year‑old community health worker without a university degree and has below‑median income.,The female is unsure whether COVID‑19 is a dangerous health threat. The female strongly disagrees that COVID‑19 can be prevented by vaccination. The female somewhat disagrees that the risks of COVID‑19 disease are greater than the risks of the vaccine. The female is unsure whether the available vaccines are safe. The female is unsure whether their government can deliver vaccines equally to everyone. The female somewhat disagrees that the science behind COVID‑19 vaccines can be trusted. The female answers 'No' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 more than a year ago. The female pays less attention to new vaccine information than a year ago.,1,"The individual exhibits skepticism towards the COVID-19 vaccine, expressing uncertainty about its safety and effectiveness, while also questioning the overall threat level of the virus and the government's vaccine distribution."
33,The female is a 46-year‑old community health worker without a university degree and has above‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female strongly agrees COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female is unsure whether the available vaccines are safe. The female somewhat agrees their government can deliver vaccines equally to everyone. The female strongly agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'No' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 more than a year ago. The female pays more attention to new vaccine information than a year ago.,1,"The individual is a risk-aware health worker who recognizes COVID-19 as a serious threat and believes in vaccination's preventive power, yet remains uncertain about vaccine safety and its effectiveness against long COVID."
34,The female is a 47-year‑old community health worker without a university degree and has below‑median income.,The female is unsure whether COVID‑19 is a dangerous health threat. The female strongly agrees COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female somewhat agrees the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female strongly agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Unsure' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 more than a year ago. The female pays about the same attention to new vaccine information as a year ago.,1,"The individual is a community health worker who trusts the science behind COVID-19 vaccines and believes in their preventative capabilities, yet remains uncertain about the overall threat of COVID-19 and the vaccine's effectiveness against long COVID."
35,The female is a 32-year‑old other healthcare worker without a university degree and has above‑median income.,The female somewhat agrees COVID‑19 is a dangerous health threat. The female strongly agrees COVID‑19 can be prevented by vaccination. The female somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female somewhat agrees their government can deliver vaccines equally to everyone. The female is unsure whether the science behind COVID‑19 vaccines can be trusted. The female answers 'No' to whether the vaccine protects against long COVID. The female and her family have not had COVID‑19. The female pays more attention to new vaccine information than a year ago.,1,"The individual is moderately concerned about COVID-19 and trusts the safety of vaccines, but remains uncertain about the scientific trustworthiness and the overall protection against long COVID."
36,The female is a 20-year‑old none of the above without a university degree and has above‑median income.,The female somewhat agrees COVID‑19 is a dangerous health threat. The female is unsure whether COVID‑19 can be prevented by vaccination. The female somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female somewhat agrees their government can deliver vaccines equally to everyone. The female somewhat disagrees that the science behind COVID‑19 vaccines can be trusted. The female answers 'Unsure' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays less attention to new vaccine information than a year ago.,1,"The individual is cautious about vaccination, perceives some safety in the vaccines, but harbors uncertainty about their effectiveness and the trustworthiness of the science behind them."
37,The female is a 21-year‑old none of the above without a university degree and has below‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female somewhat disagrees that COVID‑19 can be prevented by vaccination. The female somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female is unsure whether the available vaccines are safe. The female is unsure whether their government can deliver vaccines equally to everyone. The female somewhat agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'No' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 more than a year ago. The female pays less attention to new vaccine information than a year ago.,1,"The individual perceives COVID-19 as a significant threat but has mixed feelings about vaccine effectiveness, safety, and equitable distribution, leading to a cautious and uncertain vaccination persona."
38,The female is a 22-year‑old none of the above without a university degree and has above‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female strongly agrees COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female strongly disagrees that their government can deliver vaccines equally to everyone. The female somewhat agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Yes' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays less attention to new vaccine information than a year ago.,1,The individual is a safety-conscious young woman who believes in the efficacy and safety of COVID-19 vaccines but is skeptical about equitable vaccine distribution by the government.
39,The female is a 23-year‑old none of the above without a university degree and has below‑median income.,The female strongly disagrees that COVID‑19 is a dangerous health threat. The female strongly agrees COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female strongly agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Yes' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays more attention to new vaccine information than a year ago.,1,"The individual perceives COVID-19 as a minimal threat but holds strong confidence in vaccination as a safe and equitable preventive measure, actively seeking new information about vaccines."
40,The female is a 24-year‑old none of the above without a university degree and has below‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female is unsure whether COVID‑19 can be prevented by vaccination. The female is unsure whether the risks of COVID‑19 disease are greater than the risks of the vaccine. The female is unsure whether the available vaccines are safe. The female is unsure whether their government can deliver vaccines equally to everyone. The female is unsure whether the science behind COVID‑19 vaccines can be trusted. The female answers 'Unsure' to whether the vaccine protects against long COVID. The female and her family have not had COVID‑19. The female pays less attention to new vaccine information than a year ago.,1,The individual expresses strong concern about the dangers of COVID-19 but remains uncertain regarding the effectiveness and safety of vaccines and the trustworthiness of the authorities involved in vaccination.
41,The female is a 30-year‑old none of the above without a university degree and has below‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female somewhat agrees COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female somewhat agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Yes' to whether the vaccine protects against long COVID. The female and her family have not had COVID‑19. The female pays more attention to new vaccine information than a year ago.,1,"The individual demonstrates a proactive vaccination persona, expressing strong confidence in vaccine safety and effectiveness while perceiving COVID-19 as a significant threat."
42,The female is a 32-year‑old none of the above without a university degree and has below‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female strongly disagrees that COVID‑19 can be prevented by vaccination. The female somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female is unsure whether the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female strongly disagrees that the science behind COVID‑19 vaccines can be trusted. The female answers 'No' to whether the vaccine protects against long COVID. The female and her family have not had COVID‑19. The female pays less attention to new vaccine information than a year ago.,1,"The individual perceives COVID-19 as a serious threat but harbors significant doubts about vaccine safety and efficacy, resulting in a cautious stance towards vaccination despite trust in governmental distribution."
